Index,Job_Title,Queried_Salary,Job_Type,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
27,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,Lawrence Livermore National Laboratory,111.0,4.300000190734863,2.0,$1B to $5B (USD),Less than 10000,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,Adobe,484.0,4.300000190734863,30.0,$5B to $10B (USD),10000+,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Machine Learning Scientist,<80000,data_scientist,Intuitive Surgical,95.0,3.799999952316284,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Data Scientist/Sr. Scientific Programmer (Researcher 6),<80000,data_scientist,University of Minnesota,930.0,4.199999809265137,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,Machine Learning Intern (Summer 2019),<80000,data_scientist,Splunk,30.0,4.300000190734863,30.0,,Less than 10000,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Data Scientist (Research Director),<80000,data_scientist,Southern Methodist University,126.0,4.199999809265137,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
